Time,Vertical Force (single leg)
18706.57648,400.526062
18706.58481,400.983826
18706.59315,402.509705
18706.60148,402.204529
18706.60981,401.594177
18706.61815,401.594177
18706.62648,402.357117
18706.63481,403.272644
18706.64315,402.204529
18706.65148,401.594177
18706.65981,401.746765
18706.66815,401.746765
18706.67648,401.136414
18706.68481,401.136414
18706.69315,402.357117
18706.70148,403.120056
18706.70981,401.441589
18706.71815,401.441589
18706.72648,402.509705
18706.73481,402.509705
18706.74315,402.967468
18706.75148,401.136414
18706.75981,403.730408
18706.76815,403.120056
18706.77648,403.120056
18706.78481,404.188171
18706.79315,403.882996
18706.80148,403.272644
18706.80981,403.425232
18706.81815,403.425232
18706.82648,404.035583
18706.83481,402.509705
18706.84315,402.662292
18706.85148,402.967468
18706.85981,402.662292
18706.86815,404.340759
18706.87648,404.340759
18706.88481,404.188171
18706.89315,404.493347
18706.90148,404.340759
18706.90981,404.188171
18706.91815,407.850281
18706.92648,405.408875
18706.93481,405.408875
18706.94315,404.035583
18706.95148,404.951111
18706.95981,404.340759
18706.96815,404.188171
18706.97648,404.340759
18706.98481,404.340759
18706.99315,404.493347
18707.00148,403.272644
18707.00981,403.425232
18707.01815,403.57782
18707.02648,403.57782
18707.03481,402.662292
18707.04315,402.204529
18707.05148,402.967468
18707.05981,403.120056
18707.06815,402.204529
18707.07648,402.204529
18707.08481,402.967468
18707.09315,406.324402
18707.10148,404.035583
18707.10981,404.188171
18707.11815,404.188171
18707.12648,404.951111
18707.13481,404.951111
18707.14315,403.272644
18707.15148,403.882996
18707.15981,402.357117
18707.16815,401.441589
18707.17648,401.441589
18707.18481,402.204529
18707.19315,403.730408
18707.20148,402.204529
18707.20981,403.272644
18707.21815,404.645935
18707.22648,404.645935
18707.23481,404.188171
18707.24315,403.730408
18707.25148,404.798523
18707.25981,405.408875
18707.26815,402.051941
18707.27648,402.051941
18707.28481,401.594177
18707.29315,402.357117
18707.30148,403.272644
18707.30981,402.509705
18707.31815,402.357117
18707.32648,402.357117
18707.33481,402.204529
18707.34315,403.425232
18707.35148,403.272644
18707.35981,403.120056
18707.36815,403.120056
18707.37648,403.272644
18707.38481,402.051941
18707.39315,402.204529
18707.40148,401.289001
18707.40981,402.357117
18707.41815,402.357117
18707.42648,402.967468
18707.43481,403.120056
18707.44315,402.81488
18707.45148,403.425232
18707.45981,402.81488
18707.46815,402.81488
18707.47648,402.051941
18707.48481,402.051941
18707.49315,403.730408
18707.50148,403.57782
18707.50981,403.120056
18707.51815,403.120056
18707.52648,404.340759
18707.53481,404.340759
18707.54315,404.340759
18707.55148,403.730408
18707.55981,404.340759
18707.56815,402.967468
18707.57648,402.967468
18707.58481,405.103699
18707.59315,404.951111
18707.60148,404.188171
18707.60981,403.730408
18707.61815,403.730408
18707.62648,404.188171
18707.63481,404.035583
18707.64315,404.340759
18707.65148,404.188171
18707.65981,403.120056
18707.66815,402.051941
18707.67648,401.594177
18707.68481,401.594177
18707.69315,404.645935
18707.70148,403.272644
18707.70981,402.204529
18707.71815,403.57782
18707.72648,404.340759
18707.73481,404.340759
18707.74315,404.188171
18707.75148,404.188171
18707.75981,404.035583
18707.76815,404.035583
18707.77648,406.019226
18707.78481,404.493347
18707.79315,404.798523
18707.80148,404.340759
18707.80981,404.798523
18707.81815,405.103699
18707.82648,405.103699
18707.83481,405.103699
18707.84315,404.493347
18707.85148,404.951111
18707.85981,404.645935
18707.86815,403.882996
18707.87648,403.882996
18707.88481,404.188171
18707.89315,403.882996
18707.90148,403.730408
18707.90981,405.561462
18707.91815,405.561462
18707.92648,404.493347
18707.93481,403.120056
18707.94315,403.425232
18707.95148,403.425232
18707.95981,405.103699
18707.96815,405.103699
18707.97648,403.425232
18707.98481,403.425232
18707.99315,404.035583
18708.00148,403.272644
18708.00981,403.425232
18708.01815,404.188171
18708.02648,404.188171
18708.03481,403.57782
18708.04315,402.509705
18708.05148,403.120056
18708.05981,402.204529
18708.06815,402.204529
18708.07648,402.204529
18708.08481,401.441589
18708.09315,403.272644
18708.10148,402.051941
18708.10981,402.967468
18708.11815,402.051941
18708.12648,402.051941
18708.13481,402.967468
18708.14315,401.441589
18708.15148,402.051941
18708.15981,401.441589
18708.16815,401.289001
18708.17648,401.289001
18708.18481,402.051941
18708.19315,400.983826
18708.20148,401.441589
18708.20981,401.441589
18708.21815,401.441589
18708.22648,401.289001
18708.23481,400.67865
18708.24315,400.67865
18708.25148,401.441589
18708.25981,401.289001
18708.26815,401.289001
18708.27648,401.441589
18708.28481,401.136414
18708.29315,403.57782
18708.30148,401.594177
18708.30981,402.662292
18708.31815,402.662292
18708.32648,404.798523
18708.33481,404.798523
18708.34315,404.035583
18708.35148,404.188171
18708.35981,404.951111
18708.36815,403.882996
18708.37648,404.340759
18708.38481,404.340759
18708.39315,405.103699
18708.40148,405.256287
18708.40981,404.798523
18708.41815,404.798523
18708.42648,406.47699
18708.43481,405.71405
18708.44315,405.103699
18708.45148,407.239929
18708.45981,407.239929
18708.46815,407.087341
18708.47648,407.850281
18708.48481,407.850281
18708.49315,409.528748
18708.50148,410.139099
18708.50981,409.528748
18708.51815,409.528748
18708.52648,411.51239
18708.53481,411.054626
18708.54315,409.833923
18708.55148,411.359802
18708.55981,411.817566
18708.56815,411.817566
18708.57648,412.122742
18708.58481,412.122742
18708.59315,413.953796
18708.60148,415.1745
18708.60981,413.496033
18708.61815,413.648621
18708.62648,413.648621
18708.63481,413.496033
18708.64315,413.496033
18708.65148,412.427917
18708.65981,412.427917
18708.66815,412.122742
18708.67648,411.207214
18708.68481,411.207214
18708.69315,412.122742
18708.70148,411.664978
18708.70981,412.122742
18708.71815,412.733093
18708.72648,412.733093
18708.73481,413.801208
18708.74315,414.716736
18708.75148,414.869324
18708.75981,415.937439
18708.76815,415.937439
18708.77648,414.41156
18708.78481,413.953796
18708.79315,414.869324
18708.80148,414.716736
18708.80981,413.496033
18708.81815,413.801208
18708.82648,413.801208
18708.83481,413.648621
18708.84315,413.496033
18708.85148,412.580505
18708.85981,412.427917
18708.86815,412.427917
18708.87648,412.27533
18708.88481,411.51239
18708.89315,410.902039
18708.90148,411.817566
18708.90981,412.885681
18708.91815,413.190857
18708.92648,413.190857
18708.93481,412.122742
18708.94315,409.37616
18708.95148,411.207214
18708.95981,414.258972
18708.96815,414.258972
18708.97648,414.106384
18708.98481,414.106384
18708.99315,413.190857
18709.00148,413.343445
18709.00981,412.122742
18709.01815,412.122742
18709.02648,412.580505
18709.03481,411.359802
18709.04315,410.291687
18709.05148,410.139099
18709.05981,411.51239
18709.06815,411.51239
18709.07648,408.765808
18709.08481,407.545105
18709.09315,408.308044
18709.10148,405.256287
18709.10981,406.782166
18709.11815,407.087341
18709.12648,408.002869
18709.13481,408.002869
18709.14315,405.866638
18709.15148,405.71405
18709.15981,405.408875
18709.16815,405.408875
18709.17648,405.256287
18709.18481,404.035583
18709.19315,404.798523
18709.20148,404.645935
18709.20981,404.035583
18709.21815,403.272644
18709.22648,404.645935
18709.23481,404.645935
18709.24315,404.188171
18709.25148,404.188171
18709.25981,403.730408
18709.26815,403.730408
18709.27648,403.730408
18709.28481,402.967468
18709.29315,403.425232
18709.30148,402.81488
18709.30981,401.594177
18709.31815,401.594177
18709.32648,401.594177
18709.33481,402.967468
18709.34315,401.899353
18709.35148,401.136414
18709.35981,400.831238
18709.36815,400.831238
18709.37648,399.91571
18709.38481,400.526062
18709.39315,398.847595
18709.40148,399.152771
18709.40981,399.763123
18709.41815,399.763123
18709.42648,399.763123
18709.43481,399.763123
18709.44315,399.91571
18709.45148,399.305359
18709.45981,400.983826
18709.46815,400.983826
18709.47648,399.305359
18709.48481,399.305359
18709.49315,399.763123
18709.50148,400.526062
18709.50981,399.763123
18709.51815,400.526062
18709.52648,400.220886
18709.53481,400.220886
18709.54315,399.763123
18709.55148,399.763123
18709.55981,399.610535
18709.56815,398.542419
18709.57648,398.542419
18709.58481,399.610535
18709.59315,400.373474
18709.60148,399.91571
18709.60981,399.763123
18709.61815,399.763123
18709.62648,400.526062
18709.63481,400.67865
18709.64315,399.763123
18709.65148,401.289001
18709.65981,400.220886
18709.66815,400.526062
18709.67648,400.526062
18709.68481,399.305359
18709.69315,400.831238
18709.70148,401.594177
18709.70981,402.204529
18709.71815,402.204529
18709.72648,402.204529
